[2021-09-14 21:30:27,547] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-14 21:30:27,580] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 21:30:30,403] INFO basehttp.log_message: "GET /project/?order_by=id&direction=des&show_all_projects=True& HTTP/1.1" 200 20395
[2021-09-14 21:30:33,461] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 200 20770
[2021-09-14 21:30:33,594] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 21:30:39,663] INFO basehttp.log_message: "GET /project/?order_by=status&direction=asc&show_all_projects=True& HTTP/1.1" 200 20774
[2021-09-14 21:30:39,813] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 21:30:41,860] INFO basehttp.log_message: "GET /project/?order_by=status&direction=des&show_all_projects=True& HTTP/1.1" 200 20466
[2021-09-14 21:30:48,627] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 200 20770
[2021-09-14 21:30:48,801] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:10:32,690] INFO autoreload.run_with_reloader: Watching for file changes with StatReloader
[2021-09-14 22:10:36,895] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 302 0
[2021-09-14 22:10:36,939] INFO basehttp.log_message: "GET /user/login?next=/project/%3Forder_by%3Did%26direction%3Dasc%26show_all_projects%3DTrue%26 HTTP/1.1" 200 6807
[2021-09-14 22:10:37,011] INFO basehttp.log_message: "GET /static/c3js/c3.min.css HTTP/1.1" 304 0
[2021-09-14 22:10:37,014] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-14 22:10:37,014] INFO basehttp.log_message: "GET /static/common/css/common.css HTTP/1.1" 304 0
[2021-09-14 22:10:37,014] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-14 22:10:37,015] INFO basehttp.log_message: "GET /static/core/user/css/login.css HTTP/1.1" 304 0
